circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,RAMKRISHNA NAGAR,DOMESTIC,1,914,889.0,130143.0,1917.68
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,SUBAB NAGAR,DOMESTIC,1,1163,1150.0,146320.0,1631.21
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,TURABNAGAR,DOMESTIC,1,1181,1154.0,149427.0,1795.29
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,VANI PHOTO STUDIO LINE AMBRPT,DOMESTIC,1,212,175.0,22036.0,362.4
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,6 NO MAIN ROAD,DOMESTIC,1,304,288.0,48028.0,664.32
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,AMMERPET MAIN ROAD,DOMESTIC,1,133,93.0,10675.0,173.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,ANNPOORNA NAGAR,DOMESTIC,1,1240,1222.0,147389.0,1676.22
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,SANJAY GANDHI NAGAR,DOMESTIC,1,1398,1393.0,172189.0,1998.43
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,SATYANAGAR SRT QTRS,DOMESTIC,1,292,288.0,38370.0,552.02
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,V.NAGAR X RD. TO O.U FLY.BRID,DOMESTIC,1,502,492.0,96155.0,1270.1
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,WARASIGUDA (SOUTH),DOMESTIC,1,804,802.0,105469.0,1176.45
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD, VENKATESHWARA TEXTILES,DOMESTIC,1,623,612.0,75533.0,875.12
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,ACHAIAH NAGAR,DOMESTIC,1,797,782.0,88086.0,1004.13
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,AMBEDKAR NAGAR,DOMESTIC,1,568,550.0,57561.0,633.52
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,AZAMABAD INDL.AREA II,DOMESTIC,1,362,353.0,71550.0,1446.55
HYDERABAD CENTRAL,AZAMABAD,VST,MUSHEERABAD,AZAMABAD INDUSTRIAL AREA I,DOMESTIC,1,68,68.0,13259.0,194.21
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,EX-SER MEN COLONY,DOMESTIC,1,560,536.0,100903.0,1640.91
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,FANI GROUND ,DOMESTIC,1,751,735.0,136819.0,1366.87
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,GOKUL NAGAR LOCAL,DOMESTIC,1,469,441.0,54013.0,538.24
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,GRC CT METERS V N COLONY,DOMESTIC,1,1,1.0,1427.0,40.0
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,GRC HV VIJAY NAGAR CLY,DOMESTIC,1,17,17.0,3030.0,96.0
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,HABEEB NAGAR,DOMESTIC,1,800,771.0,125486.0,1380.86
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,HABEEB NAGAR X RD,DOMESTIC,1,776,746.0,132402.0,1062.63
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,KUMARWADI,DOMESTIC,1,1171,1075.0,121849.0,1205.65
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,MD LINES,DOMESTIC,1,700,656.0,77855.0,786.44
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,MOTI MAHAL,DOMESTIC,1,419,418.0,59596.0,503.7
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,NAYA QHILA,DOMESTIC,1,453,371.0,39610.0,432.96
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,OWAIS COLONY,DOMESTIC,1,1938,1896.0,338632.0,3924.32
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,RESHAM BAGH,DOMESTIC,1,1413,1338.0,109847.0,1382.2
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,RETHI GALLI,DOMESTIC,1,1104,1058.0,119475.0,1213.37
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,RISALA BAZAR,DOMESTIC,1,1021,961.0,114649.0,1078.34
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,SADATH NAGAR,DOMESTIC,1,509,507.0,71207.0,510.11
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,SALEH NAGAR,DOMESTIC,1,2568,2484.0,318210.0,2848.73
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,MAHESWARI COMPLEX,DOMESTIC,1,88,86.0,17850.0,196.7
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,MASAB TANK B.HILL RD,DOMESTIC,1,811,790.0,160187.0,2461.72
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,MCH CLY ASIF NAGAR,DOMESTIC,1,168,164.0,27625.0,333.56
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,MEHDIPATNAM JUNCTION,DOMESTIC,1,213,194.0,41723.0,677.9
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,MILITARY DTR AREA SYED NAGAR,DOMESTIC,1,709,697.0,88894.0,726.38
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,RAMA KRISHNA NAGAR,DOMESTIC,1,967,930.0,168322.0,2539.28
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,S D HOSPITAL MAIN RD,DOMESTIC,1,229,215.0,42169.0,917.56
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,S.D.HOSPITAL,DOMESTIC,1,1058,888.0,156312.0,2334.36
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,SANJAY GANDHI NAGAR,DOMESTIC,1,918,895.0,150774.0,1020.86
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,KAKATIYA NAGAR,DOMESTIC,1,560,554.0,96759.0,1572.44
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,MY HOME,DOMESTIC,1,438,428.0,120284.0,1933.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,NADEEM COLONY,DOMESTIC,1,1094,1067.0,182474.0,1597.79
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,NADEEM COLONY EAST,DOMESTIC,1,680,679.0,121589.0,1432.71
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,NET METERS,DOMESTIC,1,41,41.0,7321.0,229.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,P&T COLONY/NANAL NAGAR,DOMESTIC,1,1537,1502.0,294604.0,5083.11
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,PADMANABHA NAGAR,DOMESTIC,1,1520,1500.0,261766.0,3480.41
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,Q Q NAGAR,DOMESTIC,1,882,878.0,135351.0,1399.76
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,RAGAHAVA COLONY-1,DOMESTIC,1,556,553.0,123630.0,1769.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,BARATH NAGAR,DOMESTIC,1,590,574.0,73843.0,849.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,BATAKAMMA KUNTA,DOMESTIC,1,1363,1322.0,148530.0,2098.45
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,BURJU GALLI,DOMESTIC,1,1464,1398.0,163130.0,2082.3
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,C.P.L. MAIN ROAD,DOMESTIC,1,17,1.0,1.0,21.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,CT METER,DOMESTIC,1,1,1.0,251.0,10.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,GOLNAKA,DOMESTIC,1,714,709.0,76831.0,1081.56
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,GOLNAKA MAIN ROAD,DOMESTIC,1,143,121.0,17461.0,294.0
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,GRC HV GOLNAKA,DOMESTIC,1,13,12.0,4884.0,108.89
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,INDIRA NAGAR,DOMESTIC,1,1688,1653.0,223739.0,3219.6
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,JAISWAL GARDEN,DOMESTIC,1,998,987.0,124828.0,1468.66
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,JAISWAL GARDEN -II,DOMESTIC,1,1076,1059.0,124515.0,1613.0
